Product name,Reference,Category,SKU,Price CZK,Price EUR,Imp. Cost EUR,Imp. Cost CZK,Weight (g),Imported (pcs),Stock (pcs),Total orders
3in1 Mịn C - dài,2506 Mịn 3in1 C - Dài,Đầu bào,A0001016,200,8,2.15,53.48,100,100,-2,0
Bút đắp bột - kim cương - sz18,2507 Bút đắp bột - kim cương - sz18,Bút,A0001053,1300,53,20.09,495.31,100,200,-1,0
Nhám đỏ manicure,2407 Nhám đỏ,Tools & Accessories,A0000641,375,15,9.03,227.30,100,200,-1,0
Máy bào Marathon 3 bạc,2407 Máy Marathon 3 Champion bạc,Đồ điện,A0000645,3600,150,42.84,"1,079.04",100,48,-1,0
Dây cắm 3 châm Korea,2407 Dây cắm 3 châm Korea,Đồ điện,A0000646,150,6,Loading...,56.78,100,50,-2,0
Đèn bàn LED đen,2407 Đèn bàn LED đen,Đồ điện,A0000648,1500,60,31.57,795.10,100,100,-1,0
Cốc nắp vặn liquid,2507 Cốc nắp vặn liquid,Tools & Accessories,A0001035,100,4,2.36,49.24,100,1200,-2,0
Set lọ inox đựng bột liquid,2407 Set lọ inox đựng bột liquid,Tools & Accessories,A0000651,300,12,6.76,170.37,100,50,-1,0
Kê bàn trưng bày,2407 Kê bán trừng bày,Tools & Accessories,A0000652,150,6,2.25,56.78,100,10,-1,0
Cốc đựng bột trái tim,2407 Cốc đựng bột trái tim,Tools & Accessories,A0000653,100,4,2.20,55.37,100,96,-6,0
Hộp đựng dụng cụ,2407 Hộp đựng dụng cụ,Tools & Accessories,A0000656,30,1.2,Loading...,18.45,100,100,-50,0
Túi Đá nhỏ - bạc,2407 Túi Đá nhỏ - bạc,Design,A0000660,100,4,0.51,Loading...,100,100,-2,0
Túi Đá nhỏ - 7 màu,2407 Túi Đá nhỏ - 7 màu,Design,A0000661,100,4,0.56,14.20,100,100,-1,0
Biển mẫu 50 NailArt,2407 Bảng tip display,Tools & Accessories,A0000662,100,4,1.41,35.49,100,50,-3,0
Típ cho bảng tip display,2407 Típ cho bảng tip display,Tools & Accessories,A0000663,50,2,0.45,11.36,100,200,-10,0
Quyển bảng màu marble 160,2407 Quyển bảng màu marble 160,Tools & Accessories,A0000664,250,10,Loading...,Loading...,100,20,-1,0
Quyển bảng màu gold 120,2407 Quyển bảng màu gold 120,Tools & Accessories,A0000665,250,10,3.83,Loading...,100,10,-1,0
Quyển bảng màu gold 216,2407 Quyển bảng màu gold 216,Tools & Accessories,A0000666,250,10,Loading...,119.27,100,10,-1,0
Quyển bảng màu to 300,2407 Quyển bảng màu to 300,Tools & Accessories,A0000667,625,25,13.53,340.75,100,10,-1,0
Dũa nhỏ Precision 80/80,2407 Dũa Precision 80/80,Dũa,A0000670,375,15,Loading...,120.86,100,100,-1,0
Đèn vòng bàn - trắng,2407 Đèn vòng bàn - trắng,Đồ điện,A0000673,1975,79,26.06,657.49,100,40,-1,0
Thùng Túi y tế 4000c,2407 Thùng Túi y tế 4000c,Pedicure,A0000674,4500,180,Loading...,914.14,100,25,-1,0
Thùng Mini buffer 1500c,2407 Thùng Mini buffer 1500c,Pedicure,A0000675,2500,100,21.39,539.66,100,5,-1,0
Thùng Dũa mini 5000c,2407 Thùng Dũa mini 5000c,Pedicure,A0000676,6000,240,74.14,Loading...,100,5,-1,0
5XC - Titan Xanh,2407 5XC - Titan,Đầu bào,A0000680,375,15,Loading...,150.02,100,50,-2,0
4XC - tròn nhỏ,2408 4XC Tròn nhỏ,Đầu bào,A0000689,200,8,2.18,54.96,100,100,-1,0
Bút quan tài sz16,2408 Bút quan tài sz16,Bút,A0000690,1200,48,18.07,454.97,100,50,-2,0
Tay bào Korea bạc,2408 Tay bào Korea bạc,Đồ điện,A0000693,2000,80,20.18,508.09,100,40,-2,0
Chổi than japan,2408 Chổi than Japan,Đồ điện,A0000694,250,10,0.92,Loading...,100,200,-2,0
Mài da khoé,2408 Mài da khoé,Đầu bào,A0000695,170,8,Loading...,65.51,100,100,-2,0
Bào mịn 3in1 - F,2408 3in1 Mịn F,Đầu bào,A0000696,170,8,2.61,65.51,100,100,-2,0
Đèn cầu vòng đính đá,2508 Đèn cầu vòng - đính đá,Đồ điện,A0001079,1975,79,34.04,831.75,100,40,-4,0
Chrome ngọc trai 7 màu,2408 Chrome ngọc trai 7 màu,Design,A0000699,125,5,Loading...,Loading...,100,100,-2,0
Chả gọt chân Inox,2408 Chà gọt chân,Tools & Accessories,A0000700,200,8,1.08,27.11,100,300,-2,0
Xốp kẹp chân 1000c,2408 Xốp kẹp chân 2000c,Tools & Accessories,A0000704,1000,40,21.20,531.01,100,20,-1,0
Kê tay da - ghi,2408 Kê tay da - ghi,Tools & Accessories,A0000706,200,8,2.94,73.76,100,100,-3,0
Bào gầm khoé nhọn,2409 Bào gầm khoé nhọn,Đầu bào,A0000708,180,8,2.57,64.34,100,200,-1,0
Bào gầm mỏng,2409 Bào gầm mỏng,Đầu bào,A0000709,170,8,2.57,64.34,100,200,-1,0
Chổi đánh bóng,2409 Chổi đánh bóng,Đầu bào,A0000710,100,4,0.54,Loading...,100,100,-10,0
Bào gầm răng thẳng,2409 Bào gầm răng thẳng,Đầu bào,A0000711,200,8,Loading...,64.34,100,200,-10,0
5XC - đầu tròn,2409 5XC Đầu tròn,Đầu bào,A0000712,180,8,2.57,64.34,100,100,-2,0
M - to tròn,2409 M to tròn,Đầu bào,A0000713,180,8,2.57,Loading...,100,100,-1,0
M - nhỏ,2409 M nhỏ,Đầu bào,A0000714,180,8,2.57,Loading...,100,200,-1,0
Bào mịn 3in1 - M,2409 3in1 Mịn M,Đầu bào,A0000715,200,8,2.89,Loading...,100,200,-1,0
2XC Đầu vát,2409 2XC Đầu vát,Đầu bào,A0000716,180,8,2.57,Loading...,100,100,-1,0
Bột màu 56g Nude collection,2409 Bột màu 56g Nude collection,Bột,A0000717,300,12,4.23,105.95,100,1200,-12,0
Bột - VIP Natural Pink,2409 Bột - VIP Natural Pink,Bột,A0000718,1000,40,Loading...,494.43,100,83,-1,0
Muối ngâm chân 5kg,2511 Muối ngâm chân 4.2kg,Pedicure,A0001222,750,30,8.34,201.31,100,60,-1,0
Sugar Scrub - Orange 20kg,2506 Xô Sugar Scrub Orange - 20KG,Pedicure,A0001009,3750,150,162.50,"4,018.38",100,40,-1,0
Kem Mango Vera 600ml,2409 Kem Mango Vera 600ml,Hoá chất,A0000723,250,10,4.84,121.06,100,120,-2,0
Sơn Enjoy super trắng,2512 Sơn Enjoy trắng,Hoá chất,A0001231,120,5,#N/A,48.06,100,120,-5,0
