Product name	Reference	Category	SKU	Price CZK	Price EUR	Imp. Cost EUR	Imp. Cost CZK
Máy hút bụi bàn di dộng	2505 Máy hút bụi bàn di động	Đồ điện	A0000994	1500	60	28.38	707.12
Dũa Bông hoa đen 80/80	2410 Dũa Hoa hồng 80/80	Dũa	A0000786	650	25	9.20	232.22
Tip Thẳng Straight jet - Lẻ (50c)	2511 Tip thẳng Straight Jet	Tips	A0001216	18	0.7	0.35	8.49
Vỏ nhám trắng ⌗150 (1000c)	2511 Vỏ nhám trắng M-150	Tools & Accessories	A0001218	1000	40	14.48	350.28
Vỏ nhám trắng ⌗120 - C (1000c)	2511 Vỏ nhám trắng C-120	Tools & Accessories	A0001219	1000	40	14.48	350.28
Vỏ nhám trắng ⌗180 - F (1000c)	2410 Vỏ Nhám Trắng ⌗180 1000c	Tools & Accessories	A0000790	1000	40	9.15	230.92
Set Hộp đá - 7 màu	2410 Set Hộp đá - 7 màu	Design	A0000791	750	30	7.97	201.00
Set Hộp đá - bạc	2410 Set Hộp đá - bạc	Design	A0000792	750	30	7.08	178.70
Set Hộp đá - vàng	2410 Set Hộp đá - vàng	Đồ điện	A0000793	750	30	8.26	208.35
Set Hộp đá - chữ vàng	2410 Set Hộp đá - chữ vàng	Design	A0000794	875	35	10.33	260.57
Kem Mango Vera 5kg	2601 Kem Mango vera 3.8L	Hoá chất	A0001273	725	29	5.58	135.40
Callus Remover 5kg	2511 Callus Remover 4.2kg	Pedicure	A0001221	1125	42	15.64	377.43
Xô Muối ngâm chân - mịn 23kg	2511 Muối ngâm chân Xô 23kg	Hoá chất	A0001223	2500	100	37.23	898.67
Chổi quét bàn to	2507 Chổi quét bàn to	Tools & Accessories	A0001046	200	8	1.61	39.64
4XC đầu vát	2410 4XC Đầu vát	Đầu bào	A0000802	180	8	2.93	74.39
Kìm Nghĩa D01 Mũi 16	2507 Kìm Nghĩa D01 Mũi 16	Tools & Accessories	A0001026	260	12	5.11	125.96
Cây đẩy da	2410 Cây đẩy da	Tools & Accessories	A0000805	50	2	0.72	18.23
Aceton 5L	2505 Aceton 5L	Hoá chất	A0000996	430	20	9.39	233.92
Cồn IPA70 5L	2601 Isopropanol 70	Hoá chất	A0001281	380	18	9.19	222.92
Aceton 1L	2411 Aceton 1L	Hoá chất	A0000811	200	8	2.64	66.69
Típ thường 50c	2411 Típ thường 50c	Tools & Accessories	A0000816	13	0.6	0.17	4.18
Gel vẽ trắng French 50ml	2509 Gel vẽ French White 50ml	Design	A0001091	250	10	3.78	91.83
Sơn màu Milky White 15ml	2508 Sơn Milky white 15ml	Sơn màu	A0001069	100	4	1.57	38.30
Flash Disco Cat Eye 12 màu	2412 Flash Disco Cat Eye 12 màu	Sơn màu	A0000821	1500	60	35.15	887.64
Set Phấn nén làm ombre	2412 Bột phấn nén làm ombre 120 màu	Design	A0000822	300	12	4.10	103.44
1KG - Gel đắp MILKY WHITE	2601 Gel dap 1KG - Milky White	Gel đắp	A0001277	2100	85	44.66	1,083.18
1KG - Gel đắp MILKY PINK	2601 Gel dap 1KG - Milky Pink	Gel đắp	A0001276	2100	85	44.66	1,083.18
M - to	2412 M - to	Đầu bào	A0000830	180	8	2.62	66.13
Bào gầm 2.0	2412 Bào gầm 2.0	Đầu bào	A0000831	180	8	2.62	66.13
Phá Shellac	2412 Phá Shellac	Đầu bào	A0000832	180	8	2.95	74.55
Mịn thông M	2412 Mịn thông - M	Đầu bào	A0000833	180	8	3.71	93.78
Top coat tím đặc 500ml	2412 Top coat tím đặc - 500ml	Top Coat	A0000834	2200	80	23.33	589.44
Liner gel vẽ Platinum	2412 Liner gel vẽ platinum	Design	A0000836	150	6	1.69	42.80
Đèn bàn trắng 18W	2412 Đèn bàn trắng 18W	Đồ điện	A0000841	1500	60	24.96	629.52
Dũa mỏng nhỏ tròn 100/100	2506 Dũa mỏng nhỏ tròn 100/100	Dũa	A0001018	280	12	3.48	86.62
Dũa mỏng nhỏ tròn 80/80	2412 Dũa mỏng nhỏ 80/80	Dũa	A0000845	280	12	4.30	108.39
Bột - Clear Nhanh khô	2510 Bột - Clear Nhanh Khô	Bột	A0001131	840	35	19.73	476.81
Bột - Natural Dark Pink	2510 Bột - Natural Dark Pink 660g	Bột	A0001125	840	35	20.17	487.52
Chrome base coat 250ml	2509 Chrome Base Coat 250ml	Hoá chất	A0001106	1250	50	15.10	365.19
Giấy làm chân 50x70cm	2511 Giấy làm chân	Tools & Accessories	A0001215	550	22	11.52	278.68
Găng tay Nitril đen - S	2502 Găng tay nitril đen - S	Tools & Accessories	A0000863	125	5	2.66	67.00
Găng tay Nitril đen - M	2502 Găng tay nitril đen - M	Tools & Accessories	A0000864	158	5	2.66	67.00
Vỏ nhám tím ⌗150 - M	2502 Vỏ nhám tím M #150 (100c)	Tools & Accessories	A0000866	200	7	2.63	66.27
Cốc đựng bột nhỏ	2502 Cốc đựng bột tròn nhỏ	Tools & Accessories	A0000869	50	2	1.19	30.03
Hộp đựng tip 0-10	2508 Hộp đựng tip 0-10	Tools & Accessories	A0001078	50	2	0.39	9.47
Típ làm mẫu 36 màu	2502 Bảng mẫu 36	Tools & Accessories	A0000874	75	3	0.99	24.94
Kê tay cao - hồng	2502 Kê tay cao - hồng	Tools & Accessories	A0000875	200	8	2.06	51.82
Kê tay cao - be	2502 Kê tay cao - be	Tools & Accessories	A0000876	200	8	2.06	51.82
Kê tay cao - vàng	2502 Kê tay cao - vàng	Tools & Accessories	A0000877	200	8	2.06	51.82
Máy bào di động - đen	2508 Máy bào di động 35K	Đồ điện	A0001064	2300	90	33.06	807.63
Đèn pin cầm tay v2	2507 Đèn pin cầm tay v2	Đồ điện	A0001033	250	10	2.18	53.78
Pin thay đèn sạc	2502 Pin thay đèn sạc	Đồ điện	A0000880	450	18	15.53	390.01
Tinh dầu trị nấm 15ml	2510 Thuốc trị nấm	Hoá chất	A0001123	250	10	4.52	109.33
Nước cầm máu	2502 Nước cầm màu	Hoá chất	A0000885	100	4	1.94	48.52
Bột - Natural pink	2512 Bột Natural Pink	Bột	A0001235	840	35	17.59	425.72
Bột - Crystal clear	2510 Bột - Crystal Clear	Bột	A0001133	840	35	19.75	477.31
Liquid Mango J2000M C2	2505 Liquid Mango J2000M C2	Hoá chất	A0000997	1300	52	37.02	922.49
Liquid J-2000 C2	2601 Liquid J2000 C2	Hoá chất	A0001282	1100	50	30.97	751.95
Liquid J2000 C0	2510 Liquid J2000 C0	Hoá chất	A0001120	1100	50	31.16	753.21
Bột - Super white	2512 Bột Super White	Bột	A0001237	840	35	19.06	461.31
Bột - Ombre white	2512 Bột - Ombre White	Bột	A0001240	840	35	18.38	444.74
Bột - Milky white	2512 Bột Milky White	Bột	A0001236	840	35	19.06	461.31
Bột - Makeup nude	2512 Bột Makeup Nude	Bột	A0001233	840	35	17.59	425.72
Bột - Makeup peach	2510 Bột - Makeup Peach	Bột	A0001132	840	35	19.75	477.31
Bột - Makeup pink	2512 Bột Makeup Pink	Bột	A0001234	840	35	17.59	425.72
Bột - Clear	2512 Bột - Clear	Bột	A0001239	840	35	18.38	444.74
Primer 500ml	2510 Primer 500ml	Hoá chất	A0001136	840	35	6.67	161.13
Bond dry 500ml	2503 Bond Dry 500ml	Hoá chất	A0000904	500	20	4.98	124.23
Tay bào Marathon bạc	2507 Tay bào Marathon Bạc	Đồ điện	A0001036	2750	110	87.22	1,822.28
Cắt fen thường USA	2503 Cắt fen thường USA	Tools & Accessories	A0000906	400	16	8.10	201.96
Cắt fen sâu USA	2503 Cắt fen sâu USA	Tools & Accessories	A0000907	400	16	8.10	201.96
Diamond Top Coat 500ml	2601 Diamond top coat 500ml	Top Coat	A0001255	2000	80	38.27	928.32
Top coat tím Medium 1KG	2503 Top coat tím Medium 1L	Top Coat	A0000909	3800	150	40.64	1,013.28
1KG top coat tím loãng	2503 Top coat tím Loãng 1L	Top Coat	A0000910	4000	150	40.64	1,013.28
Top coat tím loãng 500ml	2503 Top coat tím Loãng 500ml	Top Coat	A0000911	2200	80	25.71	641.17
Chà chân xanh 400c	2503 Chà chân xanh 400c	Tools & Accessories	A0000912	1000	40	11.44	285.35
Buffer cam 3 mặt	2503 Buffer cam 3 mặt	Tools & Accessories	A0000913	12	0.5	0.52	12.85
Buffer trắng 4 mặt	2503 Buffer trắng 4 mặt	Pedicure	A0000914	12	0.5	0.53	13.31
Tay bào máy tím	2508 Tay bào máy tím	Đồ điện	A0001065	4900	200	59.50	1,453.76
Tay bào máy G5	2507 Tay bào G5	Đồ điện	A0001058	5400	220	70.82	1,738.11
Đèn LED 96W	2601 Đèn LED 96W	Đồ điện	A0001251	1400	55	22.26	539.86
Đèn LED 48W	2503 Đèn LED 48W	Đồ điện	A0000918	750	35	10.15	252.99
Tip làm chân set	2503 Tip làm chân set	Pedicure	A0000919	150	6	1.41	35.27
Chai sơn trống 15ml	2503 Chai sơn không chổi tốt 15ml	Tools & Accessories	A0000920	50	2	0.92	23.02
Túi ni lông xanh 800c	2511 Túi ni lông xanh	Tools & Accessories	A0001161	1750	70	36.24	874.57
5in1 Pedicure kit - 200c	2507 5in1 pedicure kit - tím	Tools & Accessories	A0001055	1450	60	27.22	668.18
Thùng Dũa mini 5000c	2503 Thùng Dũa mini 5000c	Pedicure	A0000923	3000	120	58.81	1,466.41
Thùng Slim buffer 500c	2503 Thùng Slim buffer 500c	Pedicure	A0000924	1250	50	5.51	137.43
Thùng que tăm 800c	2503 Thùng que tăm 800c	Pedicure	A0000925	500	20	5.23	130.49
Đèn cầu vòng đính đá v2	2503 Đèn cầu vòng đính đá v2	Đồ điện	A0000926	1975	79	30.54	761.47
Đèn cầu vòng trắng v2	2503 Đèn cầu vòng trắng v2	Đồ điện	A0000927	1975	79	28.22	703.69
4XC - Titan Xanh	2601 4XC Titan	Đầu bào	A0001241	375	15	4.92	119.39
2XC Titan xanh	2601 2XC Titan	Đầu bào	A0001242	375	15	4.92	119.39
Lọ không 500ml	2511 Lọ nhựa không 500ml	Tools & Accessories	A0001168	50	2	0.29	6.93
Cán dao cạo chân Inox	2507 Cán dao cạo chân Inox	Pedicure	A0001049	125	5	1.00	24.54
Dao lam Micra	2511 Dao lam 100c	Pedicure	A0001176	150	6	1.76	42.66
Dũa 80/80 Luxfile	2511 Dũa Luxfile 80/80	Dũa	A0001159	750	30	14.34	345.96
Dũa 100/100 Luxfile	2511 Dũa Luxfile 100/100	Dũa	A0001160	750	30	14.34	345.96
Máy sấy khô	2504 Máy sấy khô	Đồ điện	A0000935	2000	80	23.92	601.43
Tip fan 120 màu - tip nhọn trong	2504 Cây mẫu xoay 120 màu - tip nhọn trong	Tools & Accessories	A0000936	150	6	1.34	33.79
Tip fan 120 màu - tip nhọn đục	2504 Cây mẫu xoay 120 màu - tip nhọn đục	Tools & Accessories	A0000937	150	6	1.34	33.79
Tip fan 120 màu - tip natur trong	2504 Cây mẫu xoay 120 màu - tip natur trong	Tools & Accessories	A0000938	150	6	1.34	33.79
Tip fan 120 màu - tip natur đục	2504 Cây mẫu xoay 120 màu - tip natur đục	Tools & Accessories	A0000939	150	6	1.34	33.79
Barbicide Concentrate 500ml	2504 Barbicide 500ml	Hoá chất	A0000940	300	12	5.49	137.18
liner gel vẽ 12ml - trắng	2508 Liner gel trắng	Hoá chất	A0001066	150	6	1.26	30.68
liner gel vẽ 12ml - đen	2505 Liner gel vẽ - đen	Hoá chất	A0000942	150	6	1.08	26.96
4XC - Hoa cúc 2.0	2505 4XC Hoa Cúc 2.0	Đầu bào	A0000943	180	8	3.73	92.98
Liner gel vẽ metallic - vàng 15ml	2505 Liner gel vẽ Metallic - vàng 15ml	Design	A0000944	200	8	2.38	59.31
Liner gel vẽ metallic - bạc 15ml	2505 Liner gel vẽ Metallic - bạc 15ml	Design	A0000945	200	8	2.38	59.31
1KG top coat tím đặc	2505 1KG Top coat tím đặc	Top Coat	A0000947	4000	150	39.28	979.93
4XC	2505 4XC	Đầu bào	A0000948	200	8	2.52	62.92
Trục nhám sắt v2	2505 Trục nhám sắt	Đầu bào	A0000949	180	8	1.41	35.21
Trục nhám chắc chắn v2	2505 Trục nhám chắc chắn	Đầu bào	A0000950	180	8	2.24	55.82
Liquid J-2000 C7	2510 Liquid J2000 C7	Hoá chất	A0001122	1100	50	31.16	753.21
Bột - Ombre Pink I	2510 Bột - Ombre Pink I	Bột	A0001135	840	35	25.19	608.79
Liquid EMA J-2 C7	2505 Liquid EMA J2 C7	Hoá chất	A0000955	2000	90	46.17	1,151.83
4XC - Đầu tròn - Titan xanh	2505 4XC Đầu tròn Titan xanh	Đầu bào	A0000958	375	15	5.23	130.41
Motor tay máy tím	2505 Motor máy UP200	Đồ điện	A0000960	1250	50	8.61	214.83
Super White 250ml	2505 Super white 250ml	Hoá chất	A0000962	1500	60	41.77	1,043.49
Super Black 250ml	2505 Super black 250ml	Hoá chất	A0000963	1500	60	41.77	1,043.49
Sugar Scrub - Orange 5kg	2505 Orange Sugar Scrub 5KG	Pedicure	A0000965	1125	45	25.90	646.95
Gel Scrub - Mint 5KG	2505 Mint Gel Scrub 5KG	Hoá chất	A0000966	875	35	#ERROR!	489.50
Diamond Top Coat 1L	2510 Diamond Top Coat 1L	Top Coat	A0001155	3800	150	44.32	1,071.20
Cốc đựng bột tròn	2505 Cốc đựng bột tròn	Tools & Accessories	A0000974	100	4	1.50	37.49
Hũ đựng gel 50ml	2505 Hũ đựng gel 50ml	Tools & Accessories	A0000975	87	3.5	1.20	29.87
Hũ đựng gel 30ml	2505 Hũ đựng gel 30ml	Tools & Accessories	A0000976	87	3.5	0.67	16.78
Chà chân vàng 400c	2505 Chà chân vàng 400c	Tools & Accessories	A0000979	1000	40	14.55	363.43
Đèn sạc pin 90W	2505 Đèn sạc pin 90W trắng	Đồ điện	A0000981	1500	60	18.92	472.59
Sửa chữa tay bào	Dịch vụ sửa tay bào	Dịch vụ	DICH-VU	375	15	0.00	0.00
4XC Đầu tròn v3	2505 4XC Đầu tròn v3	Đầu bào	A0000951	180	8	2.79	69.57
M vàng - to	2505 M - to vàng	Đầu bào	A0000952	180	8	2.79	69.57
Set Bột Neon dặm 24 màu	2505 Set Bột Neon 24 màu	Design	A0000956	300	12	2.79	69.61
Set Bút Xốp dặm	2505 Set Bút Bông dặm	Design	A0000957	250	10	0.62	15.36
Thân máy Trắng Marathon	2505 Thân máy trắng Marathon	Đồ điện	A0000959	1500	60	24.61	613.81
Dây cắm 3 chân UP200	2505 Dây cắm 3 chân UP200	Đồ điện	A0000961	150	6	2.34	58.31
Set Sơn mắt mèo 10D 12 màu	2505 Set 12 màu Sơn mắt mèo 10D	Sơn màu	A0000964	1500	60	16.53	413.03
Gel nặn 3D - Clear 50ml	2505 Gel nặn - Clear 50ml	Design	A0000973	250	10	1.92	47.93
Kê chân cao - đen vàng	2505 Kê tay cao - đen	Tools & Accessories	A0000977	300	12	6.73	168.00
Kê chân cao - trắng vàng	2505 Kê tay cao - trắng	Tools & Accessories	A0000978	300	12	6.73	168.00
Chổi quét bàn - Nhỏ	2505 Chổi quét bàn - Nhỏ	Tools & Accessories	A0000980	150	6	1.53	38.10
Muối viên xô 4000 viên	2505 Muối viên xô 4000 viên	Pedicure	A0000983	4000	160	65.78	1,639.06
Moonlight Cat Eye 12 màu	2505 Moonlight Cat Eye 12 màu	Sơn màu	A0000984	1500	60	28.37	706.94
Gel thinner 30ml	2505 Gel thinner 30ml	Hoá chất	A0000985	300	12	2.69	67.15
Diamond Top Coat 15ml	2601 Diamond top coat 15ml	Top Coat	A0001254	200	8	2.23	54.09
Gel nặn 3D - trắng 15ml	2505 Gel nặn - trắng 15ml	Hoá chất	A0000988	250	10	1.98	49.32
Sơn màu Milky White 250ml	2509 Sơn Milky white 250ml	Sơn màu	A0001094	1500	60	12.63	307.09
Liquid EMA G3 C1 Blue	2506 Liquid G-3M C1 Blue	Hoá chất	A0001003	1625	65	45.23	1,118.35
Xô Gel Scrub Orange - 20KG	2506 Xô Gel Scrub Orange - 20KG	Pedicure	A0001008	2750	110	67.29	1,663.86
Vỏ nhám Mỹ ⌗150 (1000c)	2601 Vo nham Milken 150 - 1000c	Tools & Accessories	A0001280	1250	50	28.63	694.51
Set 5c Bút Nặn Silicon	2506 Set 5c Bút Nặn Silicon	Bút	A0001014	200	8	0.58	14.47
Dũa mỏng - To Vuông 80/80	2506 Dũa mỏng to vuông 80/80	Dũa	A0001019	500	20	5.06	125.76
Dũa mỏng - To Vuông 100/100	2506 Dũa mỏng to vuông 100/100	Dũa	A0001020	500	20	5.06	125.76
Tip Thẳng Natur Nhọn - Lẻ	2506 Tip Thẳng Natur Nhọn	Tips	A0001023	18	0.7	0.18	4.51
Bình ngâm khử trùng dụng cụ	2507 Bình ngâm khử trùng dụng cụ	Pedicure	A0001024	250	10	2.27	55.97
Bút cán gỗ sz14	2507 Bút cán gỗ sz14	Bút	A0001025	1100	43	15.74	388.19
BL1 - Nhũ Đường Đen ánh trắng	2507 BL1 - Nhũ Đường Đen ánh trắng	Design	A0001029	250	10	1.56	38.53
BL2 - Nhũ Đường Đen 7 màu	2507 BL2 - Nhũ Đường Đen 7 màu	Design	A0001030	250	10	1.25	30.80
Liquid EMA Ít mùi	2507 Liquid EMA ít mùi	Hoá chất	A0001037	2150	85	76.61	1,600.65
Bịch Dũa mini 50c - Lẻ	Bịch Dũa mini 50c - Lẻ	Pedicure	B0000001	100	4	0.54	13.26
Xốp kẹp chân 100c - Lẻ	Xốp kẹp chân 100c - Lẻ	Pedicure	B0000002	100	4	1.00	24.65
Hộp túi y tế 100c - Lẻ	Hộp túi y tế 100c - Lẻ	Pedicure	B0000003	100	4	0.83	20.47
Muối viên - Lọ Nhỏ 250c	2601 Muối viên lọ nhỏ 250v	Pedicure	A0001256	250	10	6.33	153.65
Chai Bơm Cồn 200ml	2507 Chai Bơm Cồn 200ml	Tools & Accessories	A0001048	150	6	0.78	19.08
Cán dao cạo chân P05	2507 Cán dao cạo chân P05	Pedicure	A0001051	120	5	0.73	18.04
Kệ Acrylic đựng bút	2507 Kệ Acrylic đựng bút	Tools & Accessories	A0001052	250	10	4.01	98.87
Bịch que tăm 100c - Lẻ	Bịch que tăm 100c - Lẻ	Tools & Accessories	B0000004	75	3	0.60	14.75
Marble Ink Set 12 màu	2507 Marble Ink Set 12 màu	Design	A0001059	1500	60	18.74	459.93
Gel 6in1	2601 6in1 Gel	Top Coat	A0001257	200	8	2.38	57.63
Máy bào di động 45K	2508 Máy bào di động 45K	Đồ điện	A0001063	3000	120	58.37	1,426.06
Gel vẽ Đen Hũ 50ml	2508 Gel vẽ đen 50ml	Hoá chất	A0001068	250	10	3.15	76.84
5in1 pedicure kit cam	2508 5in1 pedicure kit cam	Pedicure	A0001070	1500	60	33.79	825.47
Lẻ - Jelly Spa 1 túi	2508 Lẻ - Jelly Spa 1 túi	Pedicure	A0001071	50	2	1.15	28.05
Kê tay cao - màu đen - chân bạc	2508 Kê tay cao - màu đen - chân bạc	Tools & Accessories	A0001074	300	12	4.77	116.45
Kê tay cao - màu trắng - chân bạc	2508 Kê tay cao - màu trắng - chân bạc	Tools & Accessories	A0001075	300	12	4.77	116.45
Đèn LED làm chân	2508 Đèn LED làm chân	Đồ điện	A0001076	2100	85	38.26	934.64
Máy Khử trùng nhiệt độ	2508 Máy Khử trùng	Đồ điện	A0001077	2250	90	14.96	365.46
Mịn thông XF	2508 Mịn thông XF	Đầu bào	A0001080	250	10	5.41	132.05
Kìm Bấm Móng - Đầu Thẳng	2508 Kìm Bấm Móng - Đầu Thẳng	Tools & Accessories	A0001081	150	6	2.07	50.66
Imperial Top Coat - 15ml - thin	2509 Imperial Top Coat - Thin 15ml	Top Coat	A0001109	200	8	1.56	37.73
Imperial Top Coat - 15ml - thick	2508 Imperial Top Coat v0 - 15ml - thick	Top Coat	A0001083	200	8	1.77	43.22
Imperial Top Coat - 500ml - thin	2510 Imperial top coat - thin - 500ml	Top Coat	A0001153	2000	80	21.32	515.34
Imperial Top Coat - 1000ml - thin	2510 Imperial top coat - thin - 1L	Top Coat	A0001154	3800	150	42.64	1,030.68
Imperial Top Coat - 500ml - thick	2510 Imperial top coat - thick - 500ml	Top Coat	A0001150	2000	80	21.96	530.90
Imperial Top Coat - 1000ml - thick	2510 Imperial top coat - thick - 1L	Top Coat	A0001151	3800	150	43.93	1,061.83
Glaze Gel Polish Set 12 màu	2601 Sơn thạch Glaze Gel set	Sơn màu	A0001253	1500	60	27.70	671.92
BIAB 15ml	2509 Gel đắp trong chai sơn	Gel đắp	A0001090	200	8	1.76	42.69
Cuticle Oil nắp nhọn 15ml	2509 Cuticle Oil 15ml	Hoá chất	A0001116	100	4	0.83	20.13
Liquid Professional	2509 Liquid Professional	Hoá chất	A0001117	1750	70	50.94	1,234.12
Liquid Winter	2511 Winter Liquid Monomer 2.5L	Hoá chất	A0001214	1375	55	40.00	967.42
Cốc liquid mini	2510 Cốc liquid mini	Tools & Accessories	A0001137	75	3	1.13	27.32
Dép làm chân 24c	2510 Dép làm chân 24c	Pedicure	A0001138	100	4	0.83	20.07
Kem đẩy da 3.8L	2510 Cuticle Softener 3.8L	Pedicure	A0001140	875	35	11.58	279.82
Kem đẩy da 1L	2510 Cuticle Softener 1L	Pedicure	A0001141	300	12	4.56	110.33
Hộp Pedicure Bath Bombs 60c	2510 Bath Bombs 60c	Pedicure	A0001142	875	35	13.94	336.89
Imperial Top Coat - 250ml - thick	2510 Imperial top coat - thick - 250ml	Top Coat	A0001149	1250	50	12.30	297.30
Imperial Top Coat - 250ml - thin	2510 Imperial top coat - thin - 250ml	Top Coat	A0001152	1250	50	12.30	297.30
Dũa Luxfile 60/60	2511 Dũa Luxfile 60/60	Dũa	A0001158	700	25	14.34	345.96
Túi ni lông trong	2511 Túi ni lông trong	Pedicure	A0001162	1750	70	36.24	874.57
Đèn nối mi	2511 Đèn nối mi	Đồ điện	A0001165	4000	160	83.14	2,006.52
Đèn bàn LED siêu sáng	2511 Đèn bàn LED siêu sáng	Đồ điện	A0001166	1500	60	27.24	657.31
Típ làm mẫu quyển màu nhọn	2511 Típ làm mẫu quyển màu nhọn	Tips	A0001167	75	3	0.86	20.76
Thùng Chà chân tím 400c	2511 Chà chân tím	Pedicure	A0001169	975	39	16.92	408.22
Kìm bấm móng L 777 Korea	2511 Kìm bấm móng 777 Korea	Tools & Accessories	A0001170	150	6	2.90	70.19
Tip trong thẳng clear	2511 Tip trong thẳng clear	Tips	A0001171	20	0.8	0.32	7.80
Tip thẳng vuông đục	2511 Tip thẳng vuông đục	Tips	A0001172	20	0.8	0.32	7.80
Tip trong nhọn	2511 Tip trong nhọn	Tips	A0001173	20	0.8	0.28	6.75
Kìm tháo đá	2511 Kìm tháo đá	Tools & Accessories	A0001174	150	6	1.09	26.27
Bút chấm bi vôi 2 đầu	2511 Bút chấm bi vôi 2 đầu	Bút	A0001175	125	5	2.63	63.66
Bào Mịn 3in1 dài - F	2511 Bào Mịn 3in1 dài - F	Đầu bào	A0001177	200	8	3.64	87.96
Bào Mịn Dài XXL 5in1 - F	2511 Bào Mịn 5in1 XXL - F	Đầu bào	A0001178	250	10	5.03	121.56
Bào Mịn Diamond - Đẩy Khoé	2511 Bào Mịn Diamond - Đẩy Khoé	Đầu bào	A0001179	100	4	0.68	16.55
Đèn Hybrid SORAH	2511 Đèn Hybrid SORAH	Đồ điện	A0001183	1750	70	33.42	808.31
Hũ đựng nhũ	2511 Hộp trong đựng nhũ	Tools & Accessories	A0001184	50	2	0.13	3.05
Gel đắp - 500ml - Clear	2511 Gel đắp - 500ml - Clear	Gel đắp	A0001192	1250	50	21.14	511.41
Gel đắp - 500ml - Natural Pink	2511 Gel đắp - 500ml - Natural Pink	Gel đắp	A0001193	1250	50	21.14	511.41
Gel đắp - 500ml - Milky Pink	2511 Gel đắp - 500ml - Milky Pink	Gel đắp	A0001194	1250	50	21.14	511.41
Gel đắp - 500ml - Milky White	2511 Gel đắp - 500ml - Milky White	Gel đắp	A0001195	1250	50	21.14	511.41
Gel đắp - 500ml - Makeup 1	2511 Gel đắp - 500ml - Makeup 1	Gel đắp	A0001196	1250	50	21.14	511.41
Gel đắp - 500ml - Makeup 2	2511 Gel đắp - 500ml - Makeup 2	Gel đắp	A0001197	1250	50	21.14	511.41
Gel đắp - 500ml - Makeup 3	2511 Gel đắp - 500ml - Makeup 3	Gel đắp	A0001198	1250	50	21.14	511.41
Gel đắp - 50ml - Clear	2511 Gel đắp - 50ml - Clear	Gel đắp	A0001199	350	14	5.08	122.87
Gel đắp - 50ml - Natural Pink	2511 Gel đắp - 50ml - Natural Pink	Gel đắp	A0001200	350	14	5.08	122.87
Gel đắp - 50ml - Milky Pink	2511 Gel đắp - 50ml - Milky Pink	Gel đắp	A0001201	350	14	5.08	122.87
Gel đắp - 50ml - Milky White	2511 Gel đắp - 50ml - Milky White	Gel đắp	A0001202	350	14	5.08	122.87
Gel đắp - 50ml - Makeup ⌗1	2511 Gel đắp - 50ml - Makeup 1	Gel đắp	A0001203	350	14	5.08	122.87
Gel đắp - 50ml - Makeup ⌗2	2511 Gel đắp - 50ml - Makeup 2	Gel đắp	A0001204	350	14	5.08	122.87
Gel đắp - 50ml - Makeup ⌗3	2511 Gel đắp - 50ml - Makeup 3	Gel đắp	A0001205	350	14	5.08	122.87
CND Shellac Base Coat	2511 CND Shellac Base Coat	Top Coat	A0001212	500	20	14.48	350.26
Cồn xanh 80 độ 5L	2511 Cồn xanh 80 độ 5L	Hoá chất	A0001213	550	22	21.03	508.68
Thùng 5in1 pedi kit tím (200c)	2511 5in1 pedi kit tím	Pedicure	A0001217	1500	60	24.76	598.95
Oil vị dứa 500ml	2511 Oil vị dứa 500ml	Hoá chất	A0001220	250	10	5.36	129.41
Hộp Cuticle oil 48c	2511 Hộp Cuticle oil 48c	Noel	A0001224	875	35	25.02	603.91
Cuticle oil Noel	2511 Cuticle oil Noel	Noel	A0001225	20	0.76	0.30	7.19
Kem Hộp Đỏ 50ml	2511 Kem Hộp Đỏ 50ml	Noel	A0001226	50	2	1.13	27.32
Hộp kem mango vera 72c	2511 Hộp kem mango vera 72c	Noel	A0001227	975	39	14.59	352.29
Dầu Massage - Aloe Vera 3.8L	2512 Dầu Massage - Aloe Vera 3.8L	Pedicure	A0001229	875	35	11.76	284.60
Bột Ombre Nude I	2512 Bột Ombre Nude I	Bột	A0001232	840	35	17.59	425.72
Bột - Ombre Pink II	2512 Bột - Ombre Pink II	Bột	A0001238	840	35	18.38	444.74
Bào mịn Diamond thông	2511 Bào mịn Diamond thông	Đầu bào	A0001180	120	5	0.00	0.00
Chà chân Nano Glass	2601 Chà chân Nano Glass	Pedicure	A0001245	75	3	1.14	27.57
Vòng bi tay trắng Korea 1260	2601 Vòng bi tay trắng Korea 1260	Đồ điện	A0001247	125	5	1.33	32.17
Vòng bi tay trắng Korea 1480	2601 Vòng bi tay trắng Korea 1480	Đồ điện	A0001248	125	5	1.33	32.17
Vòng bi tay trắng Korea 1030	2601 Vòng bi tay trắng Korea 1030	Đồ điện	A0001249	125	5	1.33	32.17
Chổi than Korea	2601 Chổi than Korea	Đồ điện	A0001250	200	8	0.91	22.05
Máy hút bụi Lugx	2601 Máy hút bụi Lugx	Đồ điện	A0001252	1500	60	35.99	872.97
Metallic gel liner - Gold	2601 Metallic gel liner - Gold	Design	A0001258	150	6	2.90	70.42
Metallic gel liner - Silver	2601 Metallic gel liner - Silver	Design	A0001259	150	6	2.90	70.42
Metallic gel liner - Rose gold	2601 Metallic gel liner - Rose gold	Design	A0001260	150	6	2.90	70.42
Metallic gel liner - Champagne gold	2601 Metallic gel liner - Champagne gold	Design	A0001261	150	6	2.90	70.42
